#data counter step time
0.000000 1 3 9674
25.000000 2 6 9702
0.000000 3 9 9878
0.000000 4 12 10104
0.000000 5 15 10565
0.000000 6 18 10678
132.000000 7 23 10877
218.000000 8 26 10999
258.000000 9 28 11064
367.000000 10 31 11349
313.000000 11 34 11420
144.000000 12 37 11520
616.000000 13 45 12092
735.000000 14 49 12262
740.000000 15 51 12312
632.000000 16 53 12314
517.000000 17 56 12450
489.000000 18 58 12451
634.000000 19 65 12654
914.000000 20 73 13096
953.000000 21 76 13138
1051.000000 22 80 13426
992.000000 23 82 13498
1001.000000 24 86 13540
1000.000000 25 88 13564
1013.000000 26 90 13601
1336.000000 27 95 13931
1295.000000 28 100 14171
1360.000000 29 104 14281
1395.000000 30 106 14324
